Name,Variance,Edits,
MCM7,0,x,
RPB1,0,x,
RPB2,0.000277778,x,
8664_2,0.000249669,good,0.000625316
8664_3,0.000191211,fine,
8664_4,0.000321818,good,
8664_5,0.000447267,good,
8664_6,0.000306741,good,
8663_A,0.000328363,fine,
8663_O,0.000390485,good,
8663_T,0.000401966,good,
8665_N,0.000478443,good,
8668_A,0.000276469,fine,
8668_B,0.000846873,fine?,
8668_G,0.000365504,good,
8678,0.000281393,good,
8795_TA,0.00299953,fine,
8796,0.000242198,fine,
8796_TA,0.000242198,fine,
8797,0.000332519,fine,
8800,0.000289664,fine,
8801,0.000384995,fine,
8802,0.002204201,fine,
8803,0.000353791,fine?,
8805,0.00047655,fine,
8806,BAD,INFO,
8810,0.002227408,fine,
8935_B,0.000296285,fine,
8935_P,0.00069735,fine?,
